2021-06-21,Point of Sale - Interac RETAIL PURCHASE 580001001051 DOMINION BLACKM,240.59,
2021-06-18,Point of Sale - Interac RETAIL PURCHASE 000001510124 SOBEYS #340,80.83,
2021-06-18,Electronic Funds Transfer DEPOSIT CANADA,,206.39
2021-06-17,Electronic Funds Transfer PREAUTHORIZED DEBIT LN # 6423378476 CIBC LOANS / PRÊT CIBC,534.61,
2021-06-17,Point of Sale - Interac RETAIL PURCHASE 116813060747 GAP OUTLET CA 4,104.58,
2021-06-17,Point of Sale - Interac RETAIL PURCHASE 116812041906 OLD NAVY CA 420,72.38,
2021-06-17,Point of Sale - Interac RETAIL PURCHASE 001001001017 H&M CA#100 - AV,37.90,
2021-06-16,Point of Sale - Interac RETAIL PURCHASE 000001063007 THE OUTFITTERS,161.00,
2021-06-16,Point of Sale - Interac RETAIL PURCHASE 290001001002 PSEUDIO #103,65.55,
2021-06-16,Point of Sale - Interac RETAIL PURCHASE 000001001751 MUCHO BURRITO,18.71,
2021-06-16,Point of Sale - Interac RETAIL PURCHASE 116712178435 WINNERS/HOMESEN,51.22,
2021-06-16,Branch Transaction IN-BRANCH TRANSFER001849376027,736.00,
2021-06-15,Point of Sale - Interac RETAIL PURCHASE 116616460026 VILLAGE DENTAL,18.50,
2021-06-15,Point of Sale - Interac RETAIL PURCHASE 001001001089 MICHAELS OF CAN,56.49,
2021-06-14,Point of Sale - Interac RETAIL PURCHASE 116410732255 LESTERS FARM MA,64.38,
2021-06-14,Point of Sale - Interac RETAIL PURCHASE 000001618007 PEACEFUL LOFT,51.52,
2021-06-14,Point of Sale - Interac RETAIL PURCHASE 000036026409 MOHAMED ALIS RE,9.92,
2021-06-10,Electronic Funds Transfer PREAUTHORIZED DEBIT KNIGHTS OF COLUMBUS,44.40,
2021-06-10,Electronic Funds Transfer PREAUTHORIZED DEBIT KNIGHTS OF COLUMBUS,83.90,
2021-06-10,Point of Sale - Interac RETAIL PURCHASE 008001001014 DOMINION BLACKM,71.80,
2021-06-10,Internet Banking INTERNET TRANSFER 000000242039,1200.00,
